,news_title,section
32979,"Environnement : pour le compost, des sacs pas vraiment biodégradables",['monde' 'environnement']
33074,Plastiques biodégradables : des sacs à bannir des composteurs,['monde' 'environnement']
33158,Plastique : le Conseil d'Etat pourrait annuler l'interdiction des emballages pour les fruits et légumes,['monde' 'environnement']
33214,Climat : l'ONU appelle le secteur maritime à accélérer sa transition énergétique,['monde' 'environnement' 'crise-climatique']
33233,Dérèglement climatique : l'année 2022 est d'ores et déjà la plus chaude jamais enregistrée,['monde' 'environnement' 'crise-climatique']
33264,"REPLAY - Électricité, gaz... Aurons-nous assez d'énergie cet hiver ? Le débat du Talk franceinfo",['monde' 'environnement' 'gaz-de-schiste']
33283,"""Symptôme du changement climatique"", l'année 2022 est la plus chaude jamais mesurée en France, annonce Météo France",['monde' 'environnement' 'crise-climatique']
33310,"Pesticides exportés par la France : ""La loi interdit l'exportation des produits mais pas des substances en elles-mêmes"", explique une ONG",['monde' 'environnement' 'pesticides']
32723,"Chili : le désert d'Atacama, la décharge du monde",['monde' 'environnement']
32732,Black Friday : un vendredi noir pour l'environnement,['monde' 'environnement']
32872,"Chili : le désert d'Atacama, une splendeur de la nature devenue la décharge du monde",['monde' 'environnement']
32924,"Coupe du monde 2022 : ""C'est insupportable ! "", se plaignent des supporters refroidis par le niveau de la climatisation dans les stades",['meteo' 'climat']
32943,"Ludovic, éboueur star de TikTok : ""Je vais faire Paris-Marseille à pied pour sensibiliser au ramassage des déchets""",['monde' 'environnement']
32966,EN IMAGES. Réchauffement climatique : comment les satellites permettent de surveiller l'état de la Terre,['meteo' 'climat']
36426,COP15 : un accord adopté par plus de 190 pays pour mieux préserver la biodiversité,['monde' 'environnement' 'biodiversite' 'cop']
36538,Pourquoi et comment choisir un sapin de Noël écolo ?,['monde' 'environnement']
36548,"L'accord de la COP15 est ""inédit"" mais ne ""suffira pas"" sans ""mise en œuvre concrète"", estime l'eurodéputé Pascal Canfin",['monde' 'environnement' 'biodiversite' 'cop']
37500,"RECIT. Sécheresse, incendies, orages de grêle... 2022, ""annus horribilis"" où la France s'est pris les foudres de la crise climatique",['monde' 'environnement' 'crise-climatique']
37503,Environnement : bientôt la fin des emballages jetables dans les fast-foods,['monde' 'environnement']
37559,Climat : les catastrophes naturelles entraînent une facture record pour les assureurs,['meteo' 'climat']
37583,"Climat : en Vendée, les routes ont été fissurées par la sécheresse",['meteo' 'climat']
36188,Biodiversité : un refuge pour oiseaux sur le site d’une entreprise,['monde' 'environnement' 'biodiversite']
36215,COP15 biodiversité : le projet d'accord vise l'objectif de protéger 30% des terres et mers,['monde' 'environnement' 'biodiversite' 'cop']
36221,"A la COP15 biodiversité, l'Union européenne très isolée sur la réduction des pesticides",['monde' 'environnement' 'biodiversite' 'cop']
36230,Nucléaire : la mise en service du nouvel EPR de Flamanville une nouvelle fois reportée,['societe' 'nucleaire']
36240,Climat : l'Union européenne réforme en profondeur son marché carbone,['meteo' 'climat']
36252,Ardèche : la centrale nucléaire de Cruas-Meysse met l'un de ses réacteurs à l'arrêt,['societe' 'nucleaire']
37356,"Climat : 2022, une année exceptionnelle en France",['meteo' 'climat']
37374,VIDEO. Interdiction des emballages jetables en 2023 : on est allé dans un fast-food déjà converti à la vaisselle réutilisable,['monde' 'environnement']
37380,Nord : le père Noël récupère les emballages cadeaux pour les recycler,['monde' 'environnement']
37389,"Environnement : en Charente-Maritime, la seconde vie des coquilles d'huîtres",['monde' 'environnement']
